price|quantity|type|timestamp
4743000|6.2929|1|2024-04-29 00:03:58
4744000|4.8557|1|2024-04-29 00:03:58
4745000|21.8289|1|2024-04-29 00:03:58
4746000|4.1022|1|2024-04-29 00:03:58
4739000|2.1065|0|2024-04-29 00:04:03
4738000|2.2278|0|2024-04-29 00:04:03
4736000|0.5258|0|2024-04-29 00:04:03
4735000|15.0046|0|2024-04-29 00:04:03
4734000|0.4246|0|2024-04-29 00:04:03
4741000|7.0886|1|2024-04-29 00:04:03
4742000|3.0|1|2024-04-29 00:04:03
4743000|5.8661|1|2024-04-29 00:04:03
4744000|4.9579|1|2024-04-29 00:04:03
4745000|19.1691|1|2024-04-29 00:04:03
4738000|4.3348|0|2024-04-29 00:04:08
4735000|0.3404|0|2024-04-29 00:04:08
4734000|15.0886|0|2024-04-29 00:04:08
4733000|1.2107|0|2024-04-29 00:04:08
4732000|1.8997|0|2024-04-29 00:04:08
4741000|7.0886|1|2024-04-29 00:04:08
4742000|18.0|1|2024-04-29 00:04:08
4743000|5.8661|1|2024-04-29 00:04:08
4744000|6.1649|1|2024-04-29 00:04:08
4745000|6.5868|1|2024-04-29 00:04:08
4738000|4.3348|0|2024-04-29 00:04:12
4735000|0.4364|0|2024-04-29 00:04:12
4734000|15.0886|0|2024-04-29 00:04:12
4733000|1.2107|0|2024-04-29 00:04:12
4732000|1.8997|0|2024-04-29 00:04:12
4740000|2.9886|1|2024-04-29 00:04:12
4741000|7.0886|1|2024-04-29 00:04:12
4742000|3.0|1|2024-04-29 00:04:12
4743000|20.8682|1|2024-04-29 00:04:12
4744000|6.1649|1|2024-04-29 00:04:12
4738000|4.1171|0|2024-04-29 00:04:17
4736000|0.3357|0|2024-04-29 00:04:17
4735000|15.1006|0|2024-04-29 00:04:17
4734000|0.0886|0|2024-04-29 00:04:17
4733000|0.0037|0|2024-04-29 00:04:17
4740000|0.5718|1|2024-04-29 00:04:17
4741000|7.0886|1|2024-04-29 00:04:17
4742000|3.0|1|2024-04-29 00:04:17
4743000|5.8682|1|2024-04-29 00:04:17
4744000|19.9579|1|2024-04-29 00:04:17
4738000|4.1171|0|2024-04-29 00:04:22
4735000|15.1006|0|2024-04-29 00:04:22
4734000|0.4247|0|2024-04-29 00:04:22
4733000|0.0037|0|2024-04-29 00:04:22
4732000|1.8997|0|2024-04-29 00:04:22
4740000|0.4666|1|2024-04-29 00:04:22
4741000|7.0886|1|2024-04-29 00:04:22
4742000|3.0|1|2024-04-29 00:04:22
4743000|4.0021|1|2024-04-29 00:04:22
4744000|19.9579|1|2024-04-29 00:04:22
4738000|4.1171|0|2024-04-29 00:04:27
4735000|15.3407|0|2024-04-29 00:04:27
4734000|1.2954|0|2024-04-29 00:04:27
4733000|0.0037|0|2024-04-29 00:04:27
4732000|1.8997|0|2024-04-29 00:04:27
4739000|3.8661|1|2024-04-29 00:04:27
4740000|0.4666|1|2024-04-29 00:04:27
4741000|7.0886|1|2024-04-29 00:04:27
4742000|3.0|1|2024-04-29 00:04:27
